epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,811.468,0.74527,0.58509,1.03492,0.87015,0.77017,0.86858,0.68804,nan,nan,nan,0.000643795,0.000643795,0.000643795
64,931.888,0.73107,0.56576,1.02764,0.87327,0.76745,0.87083,0.69633,0.70787,0.55594,0.98912,0.000627292,0.000627292,0.000627292
65,1053.43,0.74185,0.5729,1.02945,0.85876,0.79018,0.86984,0.69015,0.71214,0.55602,0.9916,0.000610789,0.000610789,0.000610789
66,1175.46,0.74522,0.56842,1.035,0.86002,0.78198,0.86587,0.69088,nan,nan,nan,0.000594286,0.000594286,0.000594286
67,1297.25,0.73875,0.56496,1.02606,0.86726,0.7659,0.8606,0.68405,0.72787,0.58162,0.99794,0.000577782,0.000577782,0.000577782
68,1419.7,0.72943,0.56165,1.02123,0.86424,0.76984,0.86186,0.68552,0.71065,0.57124,0.98073,0.000561279,0.000561279,0.000561279
69,1542.5,0.72583,0.5533,1.02315,0.86586,0.76772,0.86464,0.68786,0.71678,0.57725,0.98897,0.000544776,0.000544776,0.000544776
70,1665.41,0.72837,0.54832,1.02277,0.86795,0.79276,0.87695,0.69909,0.70708,0.54504,0.98153,0.000528272,0.000528272,0.000528272
71,1788.46,0.72247,0.5448,1.01921,0.86158,0.78772,0.86703,0.69512,0.70741,0.56009,0.98491,0.000511769,0.000511769,0.000511769
72,1911.65,0.72463,0.54555,1.01983,0.85657,0.78204,0.86316,0.69175,0.70053,0.56329,0.97948,0.000495266,0.000495266,0.000495266
73,2034.58,0.71572,0.53461,1.0108,0.86557,0.7874,0.86447,0.68867,0.71478,0.57904,0.98578,0.000478762,0.000478762,0.000478762
74,2158.23,0.71061,0.53933,1.00671,0.862,0.78675,0.86963,0.69822,0.6991,0.55512,0.98155,0.000462259,0.000462259,0.000462259
75,2281.84,0.70975,0.53452,1.00792,0.86885,0.78387,0.86569,0.69327,nan,nan,nan,0.000445756,0.000445756,0.000445756
76,2405.68,0.70896,0.52481,1.01211,0.87249,0.77922,0.87058,0.69927,0.69444,0.54461,0.98539,0.000429253,0.000429253,0.000429253
77,2529.67,0.69615,0.51727,1.00856,0.85438,0.79562,0.85932,0.68963,0.69885,0.56383,0.98583,0.000412749,0.000412749,0.000412749
78,2653.15,0.69586,0.50951,1.00677,0.86803,0.77286,0.86583,0.69199,0.71054,0.56086,0.98735,0.000396246,0.000396246,0.000396246
79,2775.95,0.69608,0.5215,1.0087,0.85495,0.79999,0.86518,0.6927,0.70243,0.55507,0.98294,0.000379743,0.000379743,0.000379743
80,2899.36,0.69876,0.51088,1.00288,0.85043,0.78949,0.86337,0.69563,0.69554,0.55626,0.9796,0.000363239,0.000363239,0.000363239
81,3022.38,0.69297,0.50958,1.00156,0.86104,0.80023,0.86776,0.70034,0.69207,0.54103,0.97992,0.000346736,0.000346736,0.000346736
82,3145.75,0.69016,0.50609,1.00092,0.85145,0.78311,0.86062,0.69173,nan,nan,nan,0.000330233,0.000330233,0.000330233
83,3269.15,0.68356,0.4922,0.99436,0.84027,0.78585,0.86095,0.69241,nan,nan,nan,0.000313729,0.000313729,0.000313729
84,3393.01,0.68719,0.49716,1.00016,0.86422,0.79169,0.86069,0.69313,0.69232,0.54338,0.97837,0.000297226,0.000297226,0.000297226
85,3516.35,0.67945,0.4928,0.99713,0.87095,0.78922,0.87201,0.70304,nan,nan,nan,0.000280723,0.000280723,0.000280723
86,3640.21,0.68041,0.49321,0.99401,0.85815,0.77507,0.85113,0.67844,0.72192,0.60908,0.99057,0.00026422,0.00026422,0.00026422
87,3763.78,0.67573,0.49065,0.99772,0.85786,0.78823,0.86087,0.68997,nan,nan,nan,0.000247716,0.000247716,0.000247716
88,3887.32,0.66898,0.48773,0.98865,0.86708,0.77933,0.86004,0.6888,nan,nan,nan,0.000231213,0.000231213,0.000231213
89,4010.6,0.66397,0.48228,0.99088,0.8666,0.79819,0.8725,0.70069,nan,nan,nan,0.00021471,0.00021471,0.00021471
90,4134.3,0.66396,0.47693,0.99206,0.84773,0.80489,0.86982,0.70332,0.69452,0.54065,0.98353,0.000198206,0.000198206,0.000198206
91,4308.56,0.58541,0.37625,0.92479,0.87096,0.77743,0.85952,0.68632,0.71034,0.56653,0.98734,0.000181703,0.000181703,0.000181703
92,4430.46,0.57019,0.35863,0.91651,0.86294,0.77891,0.85941,0.68609,0.71281,0.57525,0.98956,0.0001652,0.0001652,0.0001652
93,4552.98,0.57149,0.3543,0.91627,0.85676,0.79066,0.86505,0.69583,0.70647,0.55745,0.98666,0.000148696,0.000148696,0.000148696
94,4677.04,0.56077,0.34544,0.91111,0.86007,0.78864,0.86462,0.69283,nan,nan,nan,0.000132193,0.000132193,0.000132193
95,4801.73,0.55421,0.34028,0.91254,0.87434,0.7816,0.86567,0.69451,0.70396,0.55387,0.9895,0.00011569,0.00011569,0.00011569
96,4926.45,0.54744,0.33615,0.90777,0.87637,0.7839,0.86734,0.69513,0.70689,0.55397,0.99298,9.91865e-05,9.91865e-05,9.91865e-05
97,5051.42,0.54438,0.33418,0.90411,0.86601,0.79463,0.86668,0.69795,0.70607,0.55003,0.99309,8.26832e-05,8.26832e-05,8.26832e-05
98,5175.59,0.54688,0.33341,0.90301,0.8633,0.79417,0.86983,0.69616,0.7137,0.5532,0.98885,6.61799e-05,6.61799e-05,6.61799e-05
99,5299.09,0.54723,0.33309,0.90235,0.8575,0.79989,0.86735,0.69613,0.70895,0.555,0.99009,4.96766e-05,4.96766e-05,4.96766e-05
100,5422.16,0.53931,0.33032,0.90178,0.86113,0.79123,0.86157,0.6925,0.70507,0.56431,0.98751,3.31733e-05,3.31733e-05,3.31733e-05
